DATA SET ; NODES ; TRAINING TIME ; NETWORK PREDICT
2000; 100; 3.360636; 90.300000
2000; 150; 5.078700; 88.900000
2000; 200; 6.973001; 86.800000
2000; 250; 8.739475; 91.400000
2000; 300; 10.527068; 90.000000
2000; 350; 12.285544; 88.400000
2000; 400; 14.085830; 91.000000
2000; 450; 15.807057; 91.400000
2000; 500; 17.635785; 89.700000
2000; 550; 19.498176; 89.500000
2000; 600; 21.228931; 91.600000
2000; 650; 23.151208; 88.600000
2000; 700; 24.949686; 89.400000
2000; 750; 26.769292; 90.900000
2000; 800; 26.493563; 88.600000
2000; 850; 27.934378; 90.800000
2000; 900; 29.907825; 86.900000
2000; 950; 31.419362; 90.000000
2000; 1000; 33.169224; 90.300000
2000; 1050; 34.775826; 89.300000
2000; 1100; 36.545406; 89.900000
2000; 1150; 38.078808; 88.100000
2000; 1200; 39.893015; 88.500000
2000; 1250; 41.472727; 90.600000
2000; 1300; 42.987694; 92.400000
2000; 1350; 44.901092; 90.000000
2000; 1400; 46.357375; 88.100000
2000; 1450; 48.366387; 93.100000
2000; 1500; 50.013558; 91.200000
