DATA SET ; NODES ; TRAINING TIME ; NETWORK PREDICT
2000; 100; 3.286340; 88.200000
2000; 150; 5.131150; 90.100000
2000; 200; 7.065970; 87.700000
2000; 250; 8.991903; 84.100000
2000; 300; 11.218434; 90.000000
2000; 350; 13.072947; 90.300000
2000; 400; 15.035586; 89.400000
2000; 450; 16.968932; 89.000000
2000; 500; 18.946185; 88.000000
2000; 550; 20.470340; 87.700000
2000; 600; 21.599923; 81.900000
2000; 650; 23.426366; 85.200000
2000; 700; 25.242806; 91.000000
2000; 750; 27.328103; 83.000000
2000; 800; 26.548862; 81.600000
2000; 850; 28.314640; 86.400000
2000; 900; 30.274088; 87.300000
2000; 950; 31.676931; 87.700000
2000; 1000; 33.909795; 88.100000
2000; 1050; 35.332964; 90.700000
2000; 1100; 36.881459; 88.900000
2000; 1150; 38.669232; 89.000000
2000; 1200; 40.032907; 88.000000
2000; 1250; 41.829474; 86.500000
2000; 1300; 43.413356; 84.600000
2000; 1350; 45.161697; 92.300000
2000; 1400; 46.822779; 86.400000
2000; 1450; 48.692083; 88.900000
2000; 1500; 51.254967; 87.800000
