DATA SET ; NODES ; TRAINING TIME ; NETWORK PREDICT
3000; 100; 5.019199; 79.700000
3000; 200; 10.529961; 83.700000
3000; 300; 15.949152; 84.500000
3000; 400; 21.475433; 93.800000
3000; 500; 26.715189; 90.900000
3000; 600; 32.320925; 88.600000
3000; 700; 38.006462; 87.700000
3000; 800; 39.691244; 85.500000
3000; 900; 44.819788; 86.800000
3000; 1000; 49.809237; 87.500000
