TRAINING SIZE ; NODES ; TRAINING TIME ; NETWORK PREDICT
5000; 300; 18.533537; 87.100000
10000; 300; 36.753632; 89.600000
15000; 300; 54.989610; 90.900000
20000; 300; 73.517244; 90.800000
25000; 300; 92.149283; 92.800000
30000; 300; 109.918651; 93.200000
35000; 300; 128.678156; 94.500000
40000; 300; 148.979722; 93.400000
45000; 300; 169.083140; 92.900000
50000; 300; 184.253534; 93.300000
55000; 300; 202.112437; 94.100000
60000; 300; 220.365307; 94.800000
