TRAINING SIZE ; NODES ; TRAINING TIME ; NETWORK PREDICT
5000; 300; 8.436330; 87.599998
10000; 300; 17.106713; 89.400002
15000; 300; 30.115173; 90.099998
20000; 300; 34.067827; 90.900002
25000; 300; 42.971871; 91.800003
30000; 300; 51.305751; 92.599998
35000; 300; 60.261067; 93.400002
40000; 300; 69.224676; 93.599998
45000; 300; 75.700495; 94.500000
50000; 300; 85.922242; 93.800003
55000; 300; 95.017034; 95.500000
60000; 300; 103.179431; 93.800003
