0; 9.300000
1; 57.400000
2; 64.300000
3; 74.300000
4; 81.900000
5; 65.000000
6; 83.800000
7; 71.600000
8; 73.900000
9; 73.600000
10; 80.300000
11; 81.500000
12; 81.000000
13; 79.000000
14; 75.600000
15; 80.800000
16; 72.800000
17; 83.400000
18; 84.000000
19; 85.300000
20; 83.800000
21; 84.700000
22; 87.200000
23; 83.200000
24; 92.100000
25; 88.800000
26; 88.600000
27; 91.100000
28; 88.900000
29; 84.500000
30; 84.500000
31; 90.100000
32; 83.700000
33; 79.100000
34; 89.200000
35; 89.500000
36; 80.100000
37; 78.700000
38; 79.100000
39; 88.900000
40; 61.100000
41; 76.200000
42; 89.200000
43; 89.800000
44; 89.400000
45; 87.500000
46; 84.400000
47; 83.200000
48; 84.400000
49; 91.000000
50; 90.000000
51; 89.900000
52; 92.500000
53; 87.500000
54; 89.200000
55; 86.700000
56; 87.500000
57; 87.300000
58; 84.000000
59; 89.900000
60; 83.400000
61; 90.900000
62; 88.600000
63; 81.100000
64; 84.600000
65; 91.000000
66; 89.600000
67; 92.200000
68; 92.300000
69; 92.900000
70; 91.600000
71; 91.700000
72; 87.300000
73; 86.300000
74; 93.500000
75; 88.900000
76; 90.200000
77; 90.200000
78; 90.300000
79; 87.000000
80; 90.300000
81; 85.200000
82; 95.200000
83; 88.700000
84; 91.800000
85; 92.000000
86; 93.600000
87; 84.000000
88; 93.000000
89; 87.400000
90; 86.500000
91; 90.900000
92; 92.100000
93; 84.000000
94; 91.700000
95; 80.800000
96; 89.900000
97; 82.100000
98; 90.300000
99; 86.600000
100; 88.900000
