TRAINING SIZE ; NODES ; TEST OFFSET ; NETWORK PREDICT
60000; 300; 0; 94.800000
60000; 300; 1000; 91.300000
60000; 300; 2000; 92.400000
60000; 300; 3000; 91.200000
60000; 300; 4000; 91.600000
60000; 300; 5000; 96.300000
60000; 300; 6000; 96.300000
60000; 300; 7000; 98.100000
60000; 300; 8000; 98.100000
60000; 300; 9000; 95.500000
