TRAINING SIZE ; NODES ; TEST OFFSET ; NETWORK PREDICT
60000; 300; 0; 93.300000
60000; 300; 1000; 90.100000
60000; 300; 2000; 91.600000
60000; 300; 3000; 90.700000
60000; 300; 4000; 90.400000
60000; 300; 5000; 96.000000
60000; 300; 6000; 95.600000
60000; 300; 7000; 96.100000
60000; 300; 8000; 97.800000
60000; 300; 9000; 93.900000
