TEST OFFSET ; NODES ; TRAINING TIME ; NETWORK PREDICT
0; 300; 61.342040; 84.600000
1000; 300; 61.170314; 82.600000
2000; 300; 61.526787; 85.600000
3000; 300; 61.203606; 85.700000
4000; 300; 61.432604; 84.900000
5000; 300; 61.430578; 88.600000
6000; 300; 61.541257; 91.200000
7000; 300; 61.470212; 90.500000
8000; 300; 61.533875; 94.100000
9000; 300; 61.375061; 87.500000
