DATA SET ; NODES ; TRAINING TIME ; NETWORK PREDICT
3000; 100; 5.154101; 90.900000
3000; 200; 10.598233; 92.500000
3000; 300; 16.031258; 88.300000
3000; 400; 21.452758; 85.500000
3000; 500; 26.636926; 83.500000
3000; 600; 32.325896; 86.000000
3000; 700; 37.880234; 84.400000
3000; 800; 39.693720; 89.800000
3000; 900; 44.659323; 84.800000
3000; 1000; 49.611883; 79.100000
