TRAINING SIZE ; NODES ; TEST OFFSET ; NETWORK PREDICT
60000; 300; 0; 84.000000
60000; 300; 1000; 80.100000
60000; 300; 2000; 81.400000
60000; 300; 3000; 83.100000
60000; 300; 4000; 81.500000
60000; 300; 5000; 90.300000
60000; 300; 6000; 89.600000
60000; 300; 7000; 89.700000
60000; 300; 8000; 93.200000
60000; 300; 9000; 87.500000
