TRAINING SIZE ; NODES; TEST OFFSET ; NETWORK PREDICT
60000; 300; 0; 85.500000
60000; 300; 1000; 80.500000
60000; 300; 2000; 83.100000
60000; 300; 3000; 83.800000
60000; 300; 4000; 82.100000
60000; 300; 5000; 87.700000
60000; 300; 6000; 89.500000
60000; 300; 7000; 89.500000
60000; 300; 8000; 94.300000
60000; 300; 9000; 88.500000
