TRAINING SIZE ; NODES ; TRAINING TIME ; NETWORK PREDICT
5000; 300; 26.175862; 87.100000
10000; 300; 52.440241; 89.600000
15000; 300; 79.324390; 90.900000
20000; 300; 104.835040; 90.800000
25000; 300; 131.148769; 92.800000
30000; 300; 157.117127; 93.200000
35000; 300; 182.952119; 94.500000
40000; 300; 209.576675; 93.400000
45000; 300; 237.332314; 92.900000
50000; 300; 261.900303; 93.300000
55000; 300; 288.245866; 94.100000
60000; 300; 314.242401; 94.800000
