TRAINING SIZE ; NODES ; TRAINING TIME ; NETWORK PREDICT
5000; 300; 9.306611; 87.100000
10000; 300; 16.766568; 89.600000
15000; 300; 25.265230; 90.900000
20000; 300; 33.286680; 90.800000
25000; 300; 41.630004; 92.800000
30000; 300; 49.924031; 93.200000
35000; 300; 57.356006; 94.500000
40000; 300; 66.326045; 93.400000
45000; 300; 74.604760; 92.900000
50000; 300; 82.884099; 93.300000
55000; 300; 92.554398; 94.100000
60000; 300; 101.312333; 94.800000
